epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,7471.61,0.7603,0.74214,1.3619,0.81857,0.83,0.85884,0.59406,1.07063,0.8696,1.56853,6.3024e-05,6.3024e-05,6.3024e-05
42,7645.55,0.74318,0.7038,1.34817,0.81551,0.84111,0.85713,0.59234,1.06579,0.87484,1.56344,5.70246e-05,5.70246e-05,5.70246e-05
43,7821.89,0.73338,0.67664,1.34,0.83926,0.8368,0.8652,0.59469,1.06744,0.8591,1.57315,5.10252e-05,5.10252e-05,5.10252e-05
44,7995.16,0.72645,0.67126,1.33416,0.83128,0.82939,0.86162,0.59632,1.05925,0.85899,1.56933,4.50258e-05,4.50258e-05,4.50258e-05
45,8168.51,0.71842,0.65163,1.32801,0.83832,0.81546,0.86402,0.60119,1.05436,0.84748,1.56192,3.90264e-05,3.90264e-05,3.90264e-05
46,8341.91,0.71003,0.64081,1.3222,0.8042,0.84219,0.85615,0.5995,1.05392,0.86084,1.56004,3.3027e-05,3.3027e-05,3.3027e-05
47,8514.53,0.69815,0.62793,1.30838,0.83166,0.82461,0.85939,0.59951,1.05836,0.86214,1.57365,2.70276e-05,2.70276e-05,2.70276e-05
48,8688.51,0.69694,0.61667,1.30786,0.8289,0.82554,0.86221,0.60656,1.04761,0.85506,1.55817,2.10282e-05,2.10282e-05,2.10282e-05
49,8860.98,0.69208,0.61159,1.29992,0.80776,0.84466,0.8643,0.60966,1.04987,0.84465,1.55872,1.50288e-05,1.50288e-05,1.50288e-05
50,9034.03,0.68891,0.60801,1.29886,0.83416,0.83937,0.86397,0.60741,1.05174,0.84359,1.56009,9.0294e-06,9.0294e-06,9.0294e-06
